region,country,raw_level,raw_pct,raw_slope,raw_rmse,raw_corr,comp_level,comp_pct,comp_slope,comp_rmse,comp_corr,score_dash
Norte,Argentina,7.842637056114899,1.4350511038437759,0.0042049443976926795,0.26950170586981886,0.35575009180829775,0.6044823211561039,0,0.06218716667568294,0.09056428732594868,0.11556505439553268,0.8727988295532682
Norte,Bolívia,3.9573629438851015,14.109698323476074,0.01129897577457424,0.1712522715663269,0.272692547004339,0.2641084785925693,0.17184716538796282,0.1961699435219322,0.027674474307789503,0.0199732330843588,0.6797732948946126
Norte,Brasil,3.5426370561148985,4.711418842860745,0.0011461309631842984,0.1280179015642768,0.34196555044281685,0.22777594710229998,0.044422104928216605,0.004416303250181638,0,0.09970027753298892,0.3763146328136872
Norte,Chile,9.8426370561149,19.724559044484252,0.019995847601335364,0.4018992664874345,0.5991575832134464,0.7796945881578732,0.24797535122487488,0.36042507228026976,0.17531243768762772,0.39570535325846085,1.9591128026091063
Norte,Colômbia,5.142637056114898,2.7962176596211137,0.007632730284080725,0.2976632832060439,0.42815360200026464,0.3679457607037154,0.018455157778980602,0.12692669869824053,0.1085906133351222,0.1988950327245137,0.8208132632405724
Norte,Costa Rica,6.842637056114899,34.47611183951529,0.024713191921796857,0.3529986943750419,0.36652082272293207,0.5168761876552194,0.4479819067501739,0.4495200956621865,0.14401100721699875,0.12796120440710135,1.68635040169168
Norte,Cuba,9.442637056114899,49.39207822606991,0.03419034289062347,0.9502690790172091,0.2872034356867639,0.7446521347575193,0.6502176375073341,0.6285121152820217,0.5263259088519578,0.036673970883323706,2.5863817672821567
Norte,República Dominicana,12.3573629438851,36.85706422046766,0.03360910436440342,0.7193363588112107,1.124215365438806,1,0.4802636665893449,0.617534442980378,0.37850505169905385,1,3.476303161268777
Norte,Equador,4.942637056114899,1.6086540170348016,0.0016090324330142874,0.17028466875751067,0.2571009686687389,0.3504245340035385,0.002353767171425528,0.013158980162515188,0.027055108301728577,0.0020287179444793456,0.3950211075836872
Norte,Guatemala,1.8573629438851,3.794196283734003,9.122994621208122e-4,0.24133697810187607,0.25533826209764343,0.08013559824071145,0.031986090411640855,0,0.07253594471420578,0,0.1846576333665581
Norte,Honduras,2.742637056114898,2.734312870909413,0.0030357863803059243,0.22819057577323745,0.3180754044786881,0.15769104030159223,0.017615831659704588,0.040105640753479777,0.06412088573528411,0.07220485168707579,0.3517382501371365
Norte,México,5.242637056114898,2.09712505017729,0.003999025575304557,0.229090311457065,0.34071455857547117,0.3767063740538038,0.00897662309515052,0.05829804155588425,0.0646968097527893,0.09826049754277497,0.6069383460004029
Norte,Nicarágua,5.742637056114898,14.225186861783392,0.010452738542742694,0.2019679666848619,0.28552005746326936,0.4205094408042461,0.17341299815624459,0.18018732261600173,0.0473357002112428,0.034736552786999976,0.8561820145747352
Norte,Panamá,5.442637056114899,4.550003465131049,0.012358189820357461,0.26328472109026724,0.6710952004292137,0.39422760075398083,0.04223358049576457,0.21617499165169823,0.08658477321378602,0.478499130352068,1.2177200764672975
Norte,Peru,2.5426370561148985,2.516243631101041,0.004807289037735071,0.1413373245057822,0.3720858010744095,0.14016981360141537,0.014659174952026706,0.07356346362220285,0.00852581008979186,0.13436599782388947,0.37128426008932625
Norte,Paraguai,0.9426370561148989,4.946495114776617,0.009080530162109593,0.34686084830282893,0.8013081967457895,0,0.047609348744844474,0.154270847274764,0.1400821500734213,0.6283626678027124,0.9703250138957422
Norte,El Salvador,6.842637056114899,12.949764171266388,0.00869690975933815,0.17799494744852695,0.33090942502257836,0.5168761876552194,0.15612038478099086,0.147025527358969,0.03199048516810385,0.08697566391649071,0.9389882488797738
Norte,Uruguai,10.542637056114899,10.251779316947292,0.008602624962494282,0.2058856421064286,0.38229496366881777,0.8410188816084924,0.1195401911519138,0.145244799557751,0.04984341820956833,0.14611583281798723,1.3017631233457128
Norte,Venezuela,5.4573629438851015,75.19039755380102,0.05385963749962286,1.6902651016811359,0.6336670713394355,0.3955176788438962,1,1,1,0.43542269417271323,3.830940373016609
Nordeste,Argentina,5.789474828976301,15.133135859661401,0.01722870163434908,0.3539681046317577,0.4741532985043164,0.38071839909893745,0.1663883736091269,0.23794122362647785,0.17009725237551188,0.3878098000716513,1.3429550487817052
Nordeste,Bolívia,6.0105251710236995,0.41161356765844914,0.0017247814620821589,0.23949152711788846,0.18045979333790862,0.396597254258288,0,0,0.09655714562367101,0,0.493154399881959
Nordeste,Brasil,1.4894748289763005,8.98666591295688,0.014169888199840698,0.089185360133307,0.22601329918426905,0.07183366020734668,0.0969185784626633,0.1909971086307145,0,0.06015146976038901,0.4199008170611135
Nordeste,Chile,7.7894748289763,33.42264380030188,0.03301960483799177,0.45233141957037626,0.7254289828540998,0.5243857195136308,0.3731035094485428,0.48028682323573024,0.23328614951191134,0.7196086692885342,2.3306708709983495
Nordeste,Colômbia,3.0894748289763,16.49430241543874,0.020656487520737125,0.3694146099476161,0.25109861792187926,0.18676751653910134,0.1817728077005631,0.29054801978347117,0.1800201350694278,0.09327556775109587,0.9323840468436594
Nordeste,Costa Rica,4.789474828976301,48.174196595332916,0.037736949158453256,0.38975922483782655,0.4704990548340672,0.30888473889159074,0.5398312994888238,0.552684685673505,0.19308957847299132,0.3829845265050142,1.9774748290319253
Nordeste,Cuba,7.389474828976301,63.09016298188754,0.04721410012727987,0.8995068570740324,0.24919940768752247,0.4956522554306921,0.7084173559196468,0.6981320869087855,0.5205530308688058,0.0907677412982684,2.5135224704261985
Nordeste,República Dominicana,14.410525171023698,50.55514897628529,0.04663286160105982,0.6792185568741314,0.937773056468818,1,0.5667417498111147,0.689211723245211,0.3790391468524916,1,3.634992619908817
Nordeste,Equador,2.889474828976301,12.089430738782823,0.014632789669670687,0.25301456144278717,0.276805448271055,0.17240078449763205,0.1319872339196625,0.19810133394444288,0.10524438461578163,0.12722034542856284,0.734954082406082
Nordeste,Guatemala,3.910525171023698,9.903888472083622,0.013936056698777212,0.31501951631076547,0.22740965085503728,0.2457465678228599,0.10728538474964652,0.18740845796254438,0.14507655901479138,0.06199529283697873,0.7475122623868209
Nordeste,Honduras,0.6894748289762997,10.963771884908212,0.016059543616962324,0.28956768039002684,0.22004042126966894,0.014366732041469285,0.1192645995195058,0.21999796242681474,0.12872622105666462,0.05226453814914687,0.5346200531936014
Nordeste,México,3.1894748289762997,11.600959705640335,0.017022782811960957,0.28729790362315083,0.23931285796426904,0.19395088255983597,0.12646634422173367,0.23478095344820402,0.1272681094554623,0.0777129722818377,0.7601792619670736
Nordeste,Nicarágua,3.6894748289762997,0.527102105965767,0.0025710186939137056,0.2662829460235326,0.23127000270872822,0.2298677126635093,0.001305296400623493,0.0129873425677501,0.11376803582621618,0.06709272350619921,0.4250211109642983
Nordeste,Panamá,3.389474828976301,18.248088220948674,0.02538194705701386,0.29543505598751907,0.49791688577957116,0.20831761460130538,0.20159477733451103,0.36307042777873194,0.13249544125142848,0.4191886078017715,1.3246668687677483
Nordeste,Peru,0.48947482897630046,11.181841124716584,0.01783104627439147,0.09182715601766459,0.2374531259259537,0,0.12172930292627264,0.24718550630492647,0.0016970978305906588,0.07525727511019858,0.44586918217198834
Nordeste,Paraguai,1.1105251710236992,18.644579870594242,0.022104287398765993,0.42153062446177897,0.7869297142632021,0.04461231924228927,0.20607608024772697,0.31276764364096965,0.21349962366077474,0.8008177731075323,1.5777734398992929
Nordeste,El Salvador,4.789474828976301,0.7483205845512373,0.004326847477318249,0.2356618326558724,0.18467879339591886,0.30888473889159074,0.003805593729529272,0.039934336912392704,0.09409693808008443,0.005571010390822824,0.45229261800441994
Nordeste,Uruguai,8.4894748289763,3.4463054388703327,0.004421132274162118,0.2803805580354174,0.34818219086206925,0.5746692816587734,0.03429926843435724,0.04138134126233343,0.12282438529800606,0.22147030256773423,0.9946445792212044
Nordeste,Venezuela,7.5105251710236995,88.88848230961864,0.06688339473627926,1.6458403960060106,0.5541749538180811,0.504347744569308,1,1,1,0.49347499730183914,3.9978227418711474
Centro-Oeste,Argentina,4.724076346412801,6.290183546762798,0.0015636657733157436,0.27996458201254004,0.6294073210055865,0.28795713197520534,0.05428409592211943,0.012780572778150173,0.05858334994818677,0.2953487118414984,0.7089538624651601
Centro-Oeste,Bolívia,7.0759236535872,21.834932974082648,0.017067585945582664,0.20222492516780613,0.5239688041710442,0.44370860927152317,0.29459340068980994,0.3417433740315034,0.007332965425868941,0.1672762127451638,1.2546545621638692
Centro-Oeste,Brasil,0.4240763464128001,12.436653493467318,0.004622479207824125,0.19110184343535383,0.4702263921057317,0.003188920054675466,0.14930357028380645,0.07768259915256356,0,0.10199717404746954,0.33217226353851503
Centro-Oeste,Chile,6.7240763464128,11.999324393877679,0.014227237430326941,0.39578085450885314,0.6498194931821427,0.4204074631010331,0.1425428146750757,0.2814767450929912,0.13493599595011813,0.3201426674197865,1.2995056862390046
Centro-Oeste,Colômbia,2.0240763464127998,4.92901699098546,0.0018641201130723019,0.30697496943554525,0.6720791241206512,0.10914918495533771,0.03324155739673124,0.019155625033117532,0.07639012705154578,0.347180666898957,0.5851171613356893
Centro-Oeste,Costa Rica,3.724076346412801,26.750877188908717,0.018944581750788433,0.37197624558789943,0.542706443097896,0.22173196641229143,0.3705899384317043,0.3815695464550293,0.1192426495923008,0.19003617102769993,1.2831702719190257
Centro-Oeste,Cuba,6.3240763464128005,41.66684357546334,0.028421732719615046,0.9686912569828099,0.4856783064817478,0.3939173968758676,0.6011787638772615,0.5826561165589494,0.5126309796348206,0.12076607700031004,2.211149333947209
Centro-Oeste,República Dominicana,15.475923653587198,29.13182956986109,0.027840494193394995,0.7526488655315202,1.2095270753105016,1,0.40739754437137055,0.5703233741520487,0.3702035997826836,1,3.347924518306103
Centro-Oeste,Equador,1.8240763464128005,9.333888667641375,0.004159577737994136,0.20154582539519475,0.5194918060019706,0.09590415184275497,0.10133732537017366,0.06786073716362233,0.006885264395430067,0.16183815878559674,0.43382563755757775
Centro-Oeste,Guatemala,4.9759236535871985,11.519430934340576,0.004856310708887611,0.25736594039510496,0.5242944619912607,0.30463576158940386,0.13512404834737646,0.08264404533884599,0.043685045535950894,0.16767177797253557,0.7337606787841127
Centro-Oeste,Honduras,0.3759236535872006,10.459547521515987,0.002732823790702499,0.24809047094304287,0.6056494515277984,0,0.11873910452685721,0.037587814574669795,0.03757013076352485,0.2664908541195465,0.46038790398459833
Centro-Oeste,México,2.1240763464127994,9.822359700783863,0.0017695845957038658,0.24846547152956414,0.5312012546243706,0.11577170151162908,0.10888869407653085,0.017149766626604036,0.037817352388051624,0.17606121875583713,0.45568873335865273
Centro-Oeste,Nicarágua,2.6240763464127994,21.950421512389966,0.016221348713751117,0.22612430288034416,0.5482412779730863,0.14888428429308603,0.2963787604654068,0.3237878784397401,0.023088788738261888,0.19675914244111184,0.9888988543776067
Centro-Oeste,Panamá,2.3240763464128005,3.175231185475525,0.006589579649349038,0.29685373095643414,0.8945587899827032,0.12901673462421193,0.006129441527379393,0.11942061537044033,0.06971763343696068,0.6174189788602632,0.9417034038192555
Centro-Oeste,Peru,0.5759236535871999,10.241478281707614,9.613211332733518e-4,0.21313774190689688,0.6234617055382794,0.013245033112582736,0.11536792973535696,0,0.014527312259905341,0.28812677953037946,0.43126705463822446
Centro-Oeste,Paraguai,2.1759236535871995,2.7787395358299563,0.00331191999110117,0.3491170730281865,0.8717185426695567,0.11920529801324498,0,0.04987510102620122,0.10417258842793042,0.5896757248654888,0.8629287123328654
Centro-Oeste,El Salvador,3.724076346412801,20.67499882187296,0.014465519930346574,0.20797754977045005,0.5350468579688272,0.22173196641229143,0.276661753029802,0.28653263275399227,0.011125421359741745,0.18073233938275807,0.9767841129385855
